ISO_639	Language_Name	Uninverted_Name	Country_Code	Country_Name	Region_Code	Region_Name	Area	L1_Users	Digits	All_Users	Countries	Family	Classification	Latitude	Longitude	EGIDS	Is_Written	Institutional	Developing	Vigorous	In_Trouble	Dying	Extinct
aaa	Ghotuo	Ghotuo	NG	Nigeria	WAF	Western Africa	Africa	9000	4	9000	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Edoid, North-Central, Ghotuo-Uneme-Yekhee	7.1154	5.9529	6a	F	0	0	1	0	0	0
aab	Alumu-Tesu	Alumu-Tesu	NG	Nigeria	WAF	Western Africa	Africa	7000	4	7000	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Plateau, Alumic	9.0164	8.6120	6a	F	0	0	1	0	0	0
aac	Ari	Ari	PG	Papua New Guinea	MEL	Melanesia	Pacific	50	2	50	1	Trans-New Guinea	Trans-New Guinea, Gogodala-Suki, Gogodala	-7.9172	142.3877	6b	T	0	0	0	1	0	0
aad	Amal	Amal	PG	Papua New Guinea	MEL	Melanesia	Pacific	830	3	830	1	Sepik	Sepik, Iwam	-4.0487	141.9967	6a	F	0	0	1	0	0	0
aae	Albanian, Arbëreshë	Arbëreshë Albanian	IT	Italy	SEU	Southern Europe	Europe	100000	6	100000	1	Indo-European	Indo-European, Albanian, Tosk	38.8985	16.7019	6b	T	0	0	0	1	0	0
aaf	Aranadan	Aranadan	IN	India	SAS	Southern Asia	Asia	200	3	200	1	Dravidian	Dravidian, Southern, Tamil-Kannada, Tamil-Kodagu, Tamil-Malayalam, Malayalam	11.3277	76.1310	6b	F	0	0	0	1	0	0
aag	Ambrak	Ambrak	PG	Papua New Guinea	MEL	Melanesia	Pacific	290	3	290	1	Torricelli	Torricelli, Wapei-Palei, Palei	-3.6040	142.5351	6b	F	0	0	0	1	0	0
aah	Arapesh, Abu’	Abu’ Arapesh	PG	Papua New Guinea	MEL	Melanesia	Pacific	2560	4	2560	1	Torricelli	Torricelli, Kombio-Arapesh, Arapesh	-3.4341	142.9650	6b	F	0	0	0	1	0	0
aai	Miniafia Oyan	Miniafia Oyan	PG	Papua New Guinea	MEL	Melanesia	Pacific	3470	4	3470	1	Austronesian	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Nuclear, North Papuan Mainland-D’Entrecasteaux, Are-Taupota, Are	-9.2356	149.1962	5	T	0	1	0	0	0	0
aak	Ankave	Ankave	PG	Papua New Guinea	MEL	Melanesia	Pacific	1600	4	1600	1	Trans-New Guinea	Trans-New Guinea, Angan, Nuclear Angan	-7.2181	145.7673	5	T	0	1	0	0	0	0
aal	Afade	Afade	CM	Cameroon	MAF	Middle Africa	Africa	5000	4	5000	2	Afro-Asiatic	Afro-Asiatic, Chadic, Biu-Mandara, B, B.1, Kotoko Proper, North	12.2133	14.7524	6a	T	0	0	1	0	0	0
aan	Anambé	Anambé	BR	Brazil	SAM	South America	Americas	6	1	6	1	Tupian	Tupian, Tupí-Guaraní, Wayampí, Amanayé	-2.7139	-49.2988	8b	F	0	0	0	0	1	0
aao	Arabic, Algerian Saharan Spoken	Algerian Saharan Spoken Arabic	DZ	Algeria	NAF	Northern Africa	Africa	239000	6	239000	3	Afro-Asiatic	Afro-Asiatic, Semitic, Central, South, Arabic	28.3757	5.3649	6a	F	0	0	1	0	0	0
aap	Arára, Pará	Pará Arára	BR	Brazil	SAM	South America	Americas	340	3	340	1	Cariban	Cariban, South Amazonian, Arara	-3.7443	-53.1231	6a	T	0	0	1	0	0	0
aaq	Abenaki, Eastern	Eastern Abenaki	US	United States	NAM	Northern America	Americas	0	0		1	Algic	Algic, Algonquian, Eastern Algonquian, Abenaki	44.9423	-68.7328	9	F	0	0	0	0	1	0
aar	Afar	Afar	ET	Ethiopia	EAF	Eastern Africa	Africa	2467000	7	2489800	3	Afro-Asiatic	Afro-Asiatic, Cushitic, East, Saho-Afar	11.9963	41.2250	2	T	1	0	0	0	0	0
aas	Aasáx	Aasáx	TZ	Tanzania	EAF	Eastern Africa	Africa	0	0		1	Afro-Asiatic	Afro-Asiatic, Cushitic, South	-4.0022	36.8687	9	F	0	0	0	0	1	0
aat	Albanian, Arvanitika	Arvanitika Albanian	GR	Greece	SEU	Southern Europe	Europe	50000	5	50000	1	Indo-European	Indo-European, Albanian, Tosk	38.2830	23.3703	8a	T	0	0	0	0	1	0
aau	Abau	Abau	PG	Papua New Guinea	MEL	Melanesia	Pacific	7500	4	7500	1	Sepik	Sepik, Abau	-4.0700	141.1713	5	T	0	1	0	0	0	0
aaw	Solong	Solong	PG	Papua New Guinea	MEL	Melanesia	Pacific	2200	4	2200	1	Austronesian	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero-Vitiaz, Vitiaz, Southwest New Britain, Arawe-Pasismanua, Arawe, West Arawe	-5.9064	148.8789	4	T	1	0	0	0	0	0
aax	Mandobo Atas	Mandobo Atas	ID	Indonesia	SEA	South-Eastern Asia	Asia	10000	5	10000	1	Trans-New Guinea	Trans-New Guinea, Ok-Awyu, Awyu-Dumut, Dumut	-5.9961	140.5105	6a	F	0	0	1	0	0	0
aaz	Amarasi	Amarasi	ID	Indonesia	SEA	South-Eastern Asia	Asia	70000	5	70000	1	Austronesian	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Timor-Babar, Nuclear Timor, Uab Meto	-10.2341	123.8968	5	T	0	1	0	0	0	0
aba	Abé	Abé	CI	Côte d’Ivoire	WAF	Western Africa	Africa	268000	6	268000	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Agneby	5.9065	-4.2749	5	T	0	1	0	0	0	0
abb	Bankon	Bankon	CM	Cameroon	MAF	Middle Africa	Africa	12000	5	12000	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Northwest, A, Basaa (A.42)	4.3782	9.6498	6b	F	0	0	0	1	0	0
abc	Ayta, Ambala	Ambala Ayta	PH	Philippines	SEA	South-Eastern Asia	Asia	1660	4	1660	1	Austronesian	Austronesian, Malayo-Polynesian, Central Luzon, Sambalic	14.8626	120.2850	6b	T	0	0	0	1	0	0
abd	Manide	Manide	PH	Philippines	SEA	South-Eastern Asia	Asia	3800	4	3800	1	Austronesian	Austronesian, Malayo-Polynesian, Greater Central Philippine, Umiray Dumaget	14.1574	122.8341	6b	F	0	0	0	1	0	0
abe	Abenaki, Western	Western Abenaki	CA	Canada	NAM	Northern America	Americas	14	2	14	2	Algic	Algic, Algonquian, Eastern Algonquian, Abenaki	46.1883	-72.6183	8b	T	0	0	0	0	1	0
abf	Abai Sungai	Abai Sungai	MY	Malaysia	SEA	South-Eastern Asia	Asia				1	Austronesian	Austronesian, Malayo-Polynesian, North Borneo, Sabahan, Paitanic	5.6857	118.3779	7	F	0	0	0	1	0	0
abg	Wagama	Wagama	PG	Papua New Guinea	MEL	Melanesia	Pacific	600	3	600	1	Trans-New Guinea	Trans-New Guinea, Madang, Kalam-Kobon	-6.0952	145.6701	6a	F	0	0	1	0	0	0
abh	Arabic, Tajiki Spoken	Tajiki Spoken Arabic	TJ	Tajikistan	CAS	Central Asia	Asia	17300	5	17300	2	Afro-Asiatic	Afro-Asiatic, Semitic, Central, South, Arabic	37.3458	68.1508	6b	T	0	0	0	1	0	0
abi	Abidji	Abidji	CI	Côte d’Ivoire	WAF	Western Africa	Africa	85000	5	85000	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Agneby	5.6430	-4.5988	5	T	0	1	0	0	0	0
abj	Aka-Bea	Aka-Bea	IN	India	SAS	Southern Asia	Asia	0	0	0	1	Andamanese	Andamanese, Great Andamanese, Central	11.6374	92.6189	x10	F	0	0	0	0	0	1
abk	Abkhaz	Abkhaz	GE	Georgia	WAS	Western Asia	Asia	190110	6	190110	2	Abkhaz-Adyghe	Abkhaz-Adyghe, Abkhaz-Abazin	42.8268	41.5652	2	T	1	0	0	0	0	0
abl	Lampung Nyo	Lampung Nyo	ID	Indonesia	SEA	South-Eastern Asia	Asia	180000	6	180000	1	Austronesian	Austronesian, Malayo-Polynesian, Lampung	-4.4888	105.2988	6a	T	0	0	1	0	0	0
abm	Abanyom	Abanyom	NG	Nigeria	WAF	Western Africa	Africa	12500	5	12500	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Ekoid, Bakor	6.2460	8.6395	6a	F	0	0	1	0	0	0
abn	Abua	Abua	NG	Nigeria	WAF	Western Africa	Africa	25000	5	25000	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Central Delta, Abua-Odual	4.8184	6.6288	6a	T	0	0	1	0	0	0
abo	Abon	Abon	NG	Nigeria	WAF	Western Africa	Africa	1000	4	1000	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Tivoid	6.9886	10.8077	6b	F	0	0	0	1	0	0
abp	Ayta, Abellen	Abellen Ayta	PH	Philippines	SEA	South-Eastern Asia	Asia	3000	4	3000	1	Austronesian	Austronesian, Malayo-Polynesian, Central Luzon, Sambalic	15.4100	120.1964	6b	T	0	0	0	1	0	0
abq	Abaza	Abaza	RU	Russian Federation	EEU	Eastern Europe	Europe	49800	5	49800	2	Abkhaz-Adyghe	Abkhaz-Adyghe, Abkhaz-Abazin	44.0444	41.8412	5	T	0	1	0	0	0	0
abr	Abron	Abron	GH	Ghana	WAF	Western Africa	Africa	1393000	7	1393000	2	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Tano, Central, Akan	7.6857	-1.9740	5	T	0	1	0	0	0	0
abs	Malay, Ambonese	Ambonese Malay	ID	Indonesia	SEA	South-Eastern Asia	Asia	250000	6	1650000	1	Creole	Creole, Malay based	-3.1496	128.4563	3	T	1	0	0	0	0	0
abt	Ambulas	Ambulas	PG	Papua New Guinea	MEL	Melanesia	Pacific	44000	5	44000	1	Sepik	Sepik, Ndu	-3.7895	143.0891	5	T	0	1	0	0	0	0
abu	Abure	Abure	CI	Côte d’Ivoire	WAF	Western Africa	Africa	93000	5	93000	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Tano, Western	5.3288	-3.5329	6a	T	0	0	1	0	0	0
abv	Arabic, Baharna Spoken	Baharna Spoken Arabic	BH	Bahrain	WAS	Western Asia	Asia	737000	6	737000	2	Afro-Asiatic	Afro-Asiatic, Semitic, Central, South, Arabic	25.9420	50.5521	3	T	1	0	0	0	0	0
abw	Pal	Pal	PG	Papua New Guinea	MEL	Melanesia	Pacific	1160	4	1160	1	Trans-New Guinea	Trans-New Guinea, Madang, Croisilles, Pihom, Omosan	-4.8827	145.2351	6a	F	0	0	1	0	0	0
abx	Inabaknon	Inabaknon	PH	Philippines	SEA	South-Eastern Asia	Asia	26400	5	26400	1	Austronesian	Austronesian, Malayo-Polynesian, Greater Barito, Sama-Bajaw, Abaknon	12.4286	124.1643	4	T	1	0	0	0	0	0
aby	Aneme Wake	Aneme Wake	PG	Papua New Guinea	MEL	Melanesia	Pacific	650	3	650	1	Trans-New Guinea	Trans-New Guinea, Southeast Papuan, Yareban	-9.7963	148.5325	5	T	0	1	0	0	0	0
abz	Abui	Abui	ID	Indonesia	SEA	South-Eastern Asia	Asia	16000	5	16000	1	Trans-New Guinea	Trans-New Guinea, West, Timor-Alor-Pantar, Alor-Pantar, Alor	-8.3108	124.5938	6a	F	0	0	1	0	0	0
aca	Achagua	Achagua	CO	Colombia	SAM	South America	Americas	250	3	250	1	Maipurean	Maipurean, Northern, Upper Amazon, Western Nawiki, Piapoco	4.3739	-72.1966	6b	T	0	0	0	1	0	0
acb	Áncá	Áncá	NG	Nigeria	WAF	Western Africa	Africa				1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Unclassified	6.7080	10.9906	6a	F	0	0	1	0	0	0
acd	Gikyode	Gikyode	GH	Ghana	WAF	Western Africa	Africa	10400	5	10400	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Tano, Guang, North Guang	8.3935	0.4894	5	T	0	1	0	0	0	0
ace	Aceh	Aceh	ID	Indonesia	SEA	South-Eastern Asia	Asia	3500000	7	3500000	1	Austronesian	Austronesian, Malayo-Polynesian, Malayo-Chamic, Chamic, Acehnese	4.5112	95.8965	6b	T	0	0	0	1	0	0
acf	Saint Lucian Creole French	Saint Lucian Creole French	LC	Saint Lucia	CAR	Caribbean	Americas	330153	6	330153	4	Creole	Creole, French based	15.4238	-61.3572	5	T	0	1	0	0	0	0
ach	Acholi	Acholi	UG	Uganda	EAF	Eastern Africa	Africa	1527000	7	1527000	2	Nilo-Saharan	Nilo-Saharan, Satellite-Core, Core, Eastern Sudanic, Southern (n languages), Nilotic, Western, Luo, Southern, Luo-Acholi, Alur-Acholi, Lango-Acholi	3.0820	32.5765	5	T	0	1	0	0	0	0
aci	Aka-Cari	Aka-Cari	IN	India	SAS	Southern Asia	Asia	0	0	0	1	Andamanese	Andamanese, Great Andamanese, Northern	13.5686	93.0350	x10	F	0	0	0	0	0	1
ack	Aka-Kora	Aka-Kora	IN	India	SAS	Southern Asia	Asia	0	0	0	1	Andamanese	Andamanese, Great Andamanese, Northern	13.4165	93.0676	x10	F	0	0	0	0	0	1
acl	Akar-Bale	Akar-Bale	IN	India	SAS	Southern Asia	Asia	0	0	0	1	Andamanese	Andamanese, Great Andamanese, Central	11.9789	92.9951	x10	F	0	0	0	0	0	1
acm	Arabic, Mesopotamian Spoken	Mesopotamian Spoken Arabic	IQ	Iraq	WAS	Western Asia	Asia	15886900	8	15886900	4	Afro-Asiatic	Afro-Asiatic, Semitic, Central, South, Arabic	31.5644	46.8276	3	T	1	0	0	0	0	0
acn	Achang	Achang	CN	China	EAS	Eastern Asia	Asia	62700	5	62700	2	Sino-Tibetan	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Burmish, Northern	24.6798	98.7253	5	T	0	1	0	0	0	0
acp	Acipa, Eastern	Eastern Acipa	NG	Nigeria	WAF	Western Africa	Africa	5000	4	5000	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Kainji, Western, Kamuku	10.6699	5.9896	6a	F	0	0	1	0	0	0
acq	Arabic, Ta’izzi-Adeni Spoken	Ta’izzi-Adeni Spoken Arabic	YE	Yemen	WAS	Western Asia	Asia	11251500	8	11251500	2	Afro-Asiatic	Afro-Asiatic, Semitic, Central, South, Arabic	13.7739	43.7412	6a	T	0	0	1	0	0	0
acr	Achi	Achi	GT	Guatemala	CAM	Central America	Americas	124000	6	124000	1	Mayan	Mayan, Yucatecan-Core Mayan, K’ichean-Mamean, K’ichean, Poqom-K’ichean, Core K’ichean	15.1168	-90.4877	6b	T	0	0	0	1	0	0
acs	Acroá	Acroá	BR	Brazil	SAM	South America	Americas	0	0	0	1	Jean	Jean, Central	-13.1116	-45.9888	x10	F	0	0	0	0	0	1
act	Achterhoeks	Achterhoeks	NL	Netherlands	WEU	Western Europe	Europe	211000	6	211000	1	Indo-European	Indo-European, Germanic, West, Low Saxon-Low Franconian, Low Saxon	52.0486	6.4584	5	T	0	1	0	0	0	0
acu	Achuar-Shiwiar	Achuar-Shiwiar	EC	Ecuador	SAM	South America	Americas	3920	4	3920	2	Jivaroan	Jivaroan, Jívaro	-2.7442	-77.3422	5	T	0	1	0	0	0	0
acv	Achumawi	Achumawi	US	United States	NAM	Northern America	Americas	10	2	10	1	Palaihnihan	Palaihnihan	41.1050	-121.1838	8b	F	0	0	0	0	1	0
acw	Arabic, Hijazi Spoken	Hijazi Spoken Arabic	SA	Saudi Arabia	WAS	Western Asia	Asia	10724500	8	10724500	3	Afro-Asiatic	Afro-Asiatic, Semitic, Central, South, Arabic	23.6989	39.1774	5	T	0	1	0	0	0	0
acx	Arabic, Omani Spoken	Omani Spoken Arabic	OM	Oman	WAS	Western Asia	Asia	2708200	7	2708200	4	Afro-Asiatic	Afro-Asiatic, Semitic, Central, South, Arabic	23.3078	57.6519	6a	T	0	0	1	0	0	0
acy	Arabic, Cypriot Spoken	Cypriot Spoken Arabic	CY	Cyprus	WAS	Western Asia	Asia	9760	4	9760	1	Afro-Asiatic	Afro-Asiatic, Semitic, Central, South, Arabic	35.3533	33.0082	7	T	0	0	0	1	0	0
acz	Acheron	Acheron	SD	Sudan	NAF	Northern Africa	Africa	20000	5	20000	1	Niger-Congo	Niger-Congo, Kordofanian, Talodi, Talodi Proper, Tocho	10.8930	30.1946	5	T	0	1	0	0	0	0
ada	Dangme	Dangme	GH	Ghana	WAF	Western Africa	Africa	1020000	7	1020000	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Ga-Dangme	5.9444	0.1316	4	T	1	0	0	0	0	0
adb	Atauran	Atauran	TL	East Timor	SEA	South-Eastern Asia	Asia	5000	4	5000	1	Austronesian	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Timor-Babar, Southwest Maluku, Wetar	-8.2297	125.5775	6a	T	0	0	1	0	0	0
add	Lidzonka	Lidzonka	CM	Cameroon	MAF	Middle Africa	Africa	2600	4	2600	2	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Wide Grassfields, Narrow Grassfields, Mbam-Nkam, Nkambe	6.7099	10.8886	6a	T	0	0	1	0	0	0
ade	Adele	Adele	TG	Togo	WAF	Western Africa	Africa	37400	5	37400	2	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Basila-Adele	8.1705	0.6357	5	T	0	1	0	0	0	0
adf	Arabic, Dhofari Spoken	Dhofari Spoken Arabic	OM	Oman	WAS	Western Asia	Asia	119000	6	119000	1	Afro-Asiatic	Afro-Asiatic, Semitic, Central, South, Arabic	17.0796	54.4894	6a	F	0	0	1	0	0	0
adg	Andegerebinha	Andegerebinha	AU	Australia	ANZ	Australia and New Zealand	Pacific	0	0		1	Australian	Australian, Pama-Nyungan, Arandic	-22.4661	137.3786	9	F	0	0	0	0	1	0
adh	Adhola	Adhola	UG	Uganda	EAF	Eastern Africa	Africa	482000	6	482000	1	Nilo-Saharan	Nilo-Saharan, Satellite-Core, Core, Eastern Sudanic, Southern (n languages), Nilotic, Western, Luo, Southern, Adhola	0.7041	34.0329	5	T	0	1	0	0	0	0
adi	Adi	Adi	IN	India	SAS	Southern Asia	Asia	151090	6	151090	2	Sino-Tibetan	Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman, Tani	28.8208	94.3054	5	T	0	1	0	0	0	0
adj	Adioukrou	Adioukrou	CI	Côte d’Ivoire	WAF	Western Africa	Africa	140000	6	140000	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Agneby	5.3771	-4.5249	5	T	0	1	0	0	0	0
adl	Adi, Galo	Galo Adi	IN	India	SAS	Southern Asia	Asia	29200	5	29200	1	Sino-Tibetan	Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman, Tani	28.1066	94.7992	5	T	0	1	0	0	0	0
adn	Adang	Adang	ID	Indonesia	SEA	South-Eastern Asia	Asia	3000	4	3000	1	Trans-New Guinea	Trans-New Guinea, West, Timor-Alor-Pantar, Alor-Pantar, Alor	-8.1891	124.4526	6b	F	0	0	0	1	0	0
ado	Abu	Abu	PG	Papua New Guinea	MEL	Melanesia	Pacific	4200	4	4200	1	Ramu-Lower Sepik	Ramu-Lower Sepik, Ramu, Grass	-4.3091	144.4888	6a	T	0	0	1	0	0	0
adq	Adangbe	Adangbe	GH	Ghana	WAF	Western Africa	Africa	4000	4	4000	2	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Left Bank, Kposo-Ahlo-Bowili	6.3699	0.7633	6b	F	0	0	0	1	0	0
adr	Adonara	Adonara	ID	Indonesia	SEA	South-Eastern Asia	Asia	98000	5	98000	1	Austronesian	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Bima-Lembata	-8.3283	123.1648	6a	F	0	0	1	0	0	0
ads	Adamorobe Sign Language	Adamorobe Sign Language	GH	Ghana	WAF	Western Africa	Africa	41	2	41	1	Sign language	Sign language, Shared-signing Languages	5.8335	-0.1545	6a	T	0	0	1	0	0	0
adt	Adnyamathanha	Adnyamathanha	AU	Australia	ANZ	Australia and New Zealand	Pacific	140	3	140	1	Australian	Australian, Pama-Nyungan, South-West, Yura	-30.2083	138.6913	8b	F	0	0	0	0	1	0
adu	Aduge	Aduge	NG	Nigeria	WAF	Western Africa	Africa	1900	4	1900	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Edoid, Northwestern	7.6352	6.1149	6b	F	0	0	0	1	0	0
adw	Amundava	Amundava	BR	Brazil	SAM	South America	Americas	83	2	83	1	Tupian	Tupian, Tupí-Guaraní, Kawahib, Parintintin	-10.5446	-63.7199	6b	F	0	0	0	1	0	0
adx	Tibetan, Amdo	Amdo Tibetan	CN	China	EAS	Eastern Asia	Asia	1800000	7	1800000	1	Sino-Tibetan	Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, Central Bodish, Amdo	34.7339	100.4574	6a	T	0	0	1	0	0	0
ady	Adyghe	Adyghe	RU	Russian Federation	EEU	Eastern Europe	Europe	568500	6	568500	6	Abkhaz-Adyghe	Abkhaz-Adyghe, Circassian	38.7042	35.3438	2	T	1	0	0	0	0	0
adz	Adzera	Adzera	PG	Papua New Guinea	MEL	Melanesia	Pacific	30000	5	30000	1	Austronesian	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Huon Gulf, Markham, Upper	-6.3408	146.2702	4	T	1	0	0	0	0	0
aea	Areba	Areba	AU	Australia	ANZ	Australia and New Zealand	Pacific	0	0	0	1	Australian	Australian, Pama-Nyungan, Paman, Norman Pama	-16.9412	141.4462	x10	F	0	0	0	0	0	1
aeb	Arabic, Tunisian Spoken	Tunisian Spoken Arabic	TN	Tunisia	NAF	Northern Africa	Africa	11571600	8	11571600	1	Afro-Asiatic	Afro-Asiatic, Semitic, Central, South, Arabic	34.1204	9.5726	3	T	1	0	0	0	0	0
aec	Arabic, Sa’idi Spoken	Sa’idi Spoken Arabic	EG	Egypt	NAF	Northern Africa	Africa	23500000	8	23500000	1	Afro-Asiatic	Afro-Asiatic, Semitic, Central, South, Arabic	25.4132	30.5302	6a	T	0	0	1	0	0	0
aed	Argentine Sign Language	Argentine Sign Language	AR	Argentina	SAM	South America	Americas	60000	5	60000	1	Sign language	Sign language, Deaf Community Sign Languages	-34.7969	-59.1798	5	T	0	1	0	0	0	0
aee	Pashai, Northeast	Northeast Pashai	AF	Afghanistan	SAS	Southern Asia	Asia	54400	5	54400	1	Indo-European	Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Northwestern, Dardic, Pashai	34.7883	70.7989	6a	F	0	0	1	0	0	0
aek	Haeke	Haeke	NC	New Caledonia	MEL	Melanesia	Pacific	300	3	300	1	Austronesian	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, New Caledonian, Haekic	-21.0723	164.8682	8b	F	0	0	0	0	1	0
ael	Ambele	Ambele	CM	Cameroon	MAF	Middle Africa	Africa	5000	4	5000	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Wide Grassfields, Western Momo	5.9693	9.6579	6a	F	0	0	1	0	0	0
aem	Arem	Arem	VN	Viet Nam	SEA	South-Eastern Asia	Asia	270	3	270	2	Austro-Asiatic	Austro-Asiatic, Mon-Khmer, Viet-Muong, Chut	18.1381	105.4515	8a	F	0	0	0	0	1	0
aen	Armenian Sign Language	Armenian Sign Language	AM	Armenia	WAS	Western Asia	Asia	3150	4	3150	1	Sign language	Sign language, Deaf Community Sign Languages	40.1003	44.4767	6a	T	0	0	1	0	0	0
aeq	Aer	Aer	PK	Pakistan	SAS	Southern Asia	Asia	100	3	100	1	Indo-European	Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Gujarati	25.1692	69.5458	6b	F	0	0	0	1	0	0
aer	Arrernte, Eastern	Eastern Arrernte	AU	Australia	ANZ	Australia and New Zealand	Pacific	1910	4	1910	1	Australian	Australian, Pama-Nyungan, Arandic	-23.5870	135.1564	4	T	1	0	0	0	0	0
aeu	Akeu	Akeu	CN	China	EAS	Eastern Asia	Asia	12400	5	12400	4	Sino-Tibetan	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Southern	22.1959	101.0823	5	T	0	1	0	0	0	0
aew	Ambakich	Ambakich	PG	Papua New Guinea	MEL	Melanesia	Pacific	770	3	770	1	Ramu-Lower Sepik	Ramu-Lower Sepik, Ramu, Grass	-4.2308	144.3051	7	F	0	0	0	1	0	0
aey	Amele	Amele	PG	Papua New Guinea	MEL	Melanesia	Pacific	5300	4	5300	1	Trans-New Guinea	Trans-New Guinea, Madang, Croisilles, Gum	-5.2764	145.7041	6b	T	0	0	0	1	0	0
aez	Aeka	Aeka	PG	Papua New Guinea	MEL	Melanesia	Pacific	3400	4	3400	1	Trans-New Guinea	Trans-New Guinea, Greater Binanderean, Binanderean, Nuclear Binanderean, South Binanderean, Orokaivan	-8.6272	147.9861	5	T	0	1	0	0	0	0
afb	Arabic, Gulf Spoken	Gulf Spoken Arabic	KW	Kuwait	WAS	Western Asia	Asia	10366400	8	10366400	10	Afro-Asiatic	Afro-Asiatic, Semitic, Central, South, Arabic	20.9416	56.2610	3	T	1	0	0	0	0	0
afd	Andai	Andai	PG	Papua New Guinea	MEL	Melanesia	Pacific	440	3	440	1	Arafundi	Arafundi	-4.9156	143.5354	6a	F	0	0	1	0	0	0
afe	Utugwang-Irungene-Afrike	Utugwang-Irungene-Afrike	NG	Nigeria	WAF	Western Africa	Africa	70000	5	70000	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Bendi	6.6194	8.9745	6a	T	0	0	1	0	0	0
afg	Afghan Sign Language	Afghan Sign Language	AF	Afghanistan	SAS	Southern Asia	Asia	34700	5	34700	1	Sign language	Sign language, Deaf Community Sign Languages	34.3307	70.3455	5	T	0	1	0	0	0	0
afi	Chini	Chini	PG	Papua New Guinea	MEL	Melanesia	Pacific	75	2	75	1	Ramu-Lower Sepik	Ramu-Lower Sepik, Ramu, Tamolan	-4.8827	144.8110	7	F	0	0	0	1	0	0
afk	Nanubae	Nanubae	PG	Papua New Guinea	MEL	Melanesia	Pacific	1270	4	1270	1	Arafundi	Arafundi	-4.6953	143.6077	6b	F	0	0	0	1	0	0
afn	Defaka	Defaka	NG	Nigeria	WAF	Western Africa	Africa	200	3	200	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Ijoid, Defaka	4.5456	7.4638	8b	F	0	0	0	0	1	0
afo	Eloyi	Eloyi	NG	Nigeria	WAF	Western Africa	Africa	25000	5	25000	1	Niger-Congo	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Idomoid, Akweya, Eloyi	8.2505	7.9592	6a	T	0	0	1	0	0	0
